Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,weekly change,monthly change,yearly change,relative_vol,rsi,symbol,sma50,sma200
2023-01-05 00:00:00-05:00,1.5099999904632568,1.5499999523162842,1.4299999475479126,1.4500000476837158,23300,0,0,-0.01360542893691108,-0.35555553436279297,,0.047472516936278845,40.45883997556927,SNAL,,
2023-01-06 00:00:00-05:00,1.5049999952316284,1.6200000047683716,1.409999966621399,1.5099999904632568,35900,0,0,-0.0065789411768027994,-0.33185840848002146,,0.07314435012928801,42.92771763483741,SNAL,,
2023-01-09 00:00:00-05:00,1.4600000381469727,1.600000023841858,1.4600000381469727,1.4600000381469727,36100,0,0,-0.006802714468455484,-0.3311956117877286,,0.07355183954505005,41.38759294011918,SNAL,,
2023-01-10 00:00:00-05:00,1.5299999713897705,1.5399999618530273,1.440000057220459,1.4600000381469727,43900,0,0,0.09774435416307958,-0.26999998092651367,,0.08944392675977,41.38759294011918,SNAL,,
2023-01-11 00:00:00-05:00,1.5700000524520874,1.5700000524520874,1.4700000286102295,1.4900000095367432,25400,0,0,-0.007989324180938118,-0.287081305872227,,0.05175115580178037,42.815234067995746,SNAL,,
2023-01-12 00:00:00-05:00,1.4910000562667847,1.809999942779541,1.4910000562667847,1.7100000381469727,156300,0,0,0.17931033235384408,-0.04999995364083065,,0.3184529784180422,52.04071068898934,SNAL,,
2023-01-13 00:00:00-05:00,1.899999976158142,1.899999976158142,1.7000000476837158,1.7200000286102295,40700,0,0,0.13907287382336087,-0.080213890789119,,0.08292409610757721,52.41648451049284,SNAL,,
2023-01-17 00:00:00-05:00,1.9299999475479126,1.9299999475479126,1.7699999809265137,1.8300000429153442,49300,0,0,0.25342465417875903,0.05172415683064435,,0.10044614098534536,56.45796378902603,SNAL,,
2023-01-18 00:00:00-05:00,1.8899999856948853,1.9049999713897705,1.7200000286102295,1.7400000095367432,20200,0,0,0.1917807973108998,0.20833329194122063,,0.041156430991967065,52.52698317335638,SNAL,,
2023-01-19 00:00:00-05:00,1.840000033378601,1.840000033378601,1.7000000476837158,1.7400000095367432,13900,0,0,0.16778523382541977,0.19999996711467993,,0.028320514395462487,52.52698317335638,SNAL,,
2023-01-20 00:00:00-05:00,1.7799999713897705,1.9229999780654907,1.7400000095367432,1.7999999523162842,16100,0,0,0.05263152757987033,0.2413792366363514,,0.032802897968845036,54.95207408447369,SNAL,,
2023-01-23 00:00:00-05:00,1.850000023841858,1.850000023841858,1.7400000095367432,1.7599999904632568,36900,0,0,0.023255791388182345,0.20547941402593595,,0.07518179720809826,53.007986075908306,SNAL,,
2023-01-24 00:00:00-05:00,1.75,1.7799999713897705,1.7000000476837158,1.7000000476837158,34100,0,0,-0.07103824709453421,0.18055554175818456,,0.06947694538742956,50.142403533659106,SNAL,2.0609999966621397,
2023-01-25 00:00:00-05:00,1.7200000286102295,1.75,1.7000000476837158,1.7200000286102295,17800,0,0,-0.011494241848790776,0.3230769936149669,,0.03626655800282246,51.09151936677691,SNAL,2.0503999972343445,
2023-01-26 00:00:00-05:00,1.7200000286102295,1.7799999713897705,1.6699999570846558,1.7200000286102295,62500,0,0,-0.011494241848790776,0.2740740727658788,,0.1273404424256407,51.09151936677689,SNAL,2.024799997806549,
2023-01-27 00:00:00-05:00,1.6799999475479126,1.7999999523162842,1.6799999475479126,1.7100000381469727,76500,0,0,-0.04999995364083065,0.163265309432439,,0.15586470152898418,50.533681247722384,SNAL,1.9916000008583068,
2023-01-30 00:00:00-05:00,1.7400000095367432,1.7400000095367432,1.690000057220459,1.7100000381469727,38200,0,0,-0.028409063970007975,0.1250000392135826,,0.07783047841055159,50.533681247722384,SNAL,1.958800003528595,
2023-01-31 00:00:00-05:00,1.7200000286102295,1.8300000429153442,1.5099999904632568,1.600000023841858,170600,0,0,-0.05882354178643112,0.08843536918467487,,0.34758847164502876,44.355391032991335,SNAL,1.929000005722046,
2023-02-01 00:00:00-05:00,1.7100000381469727,1.7599999904632568,1.6100000143051147,1.7200000286102295,214200,0,0,0.0,0.29323306248923875,,0.43642116428115574,51.3440877292876,SNAL,1.9024000072479248,
2023-02-02 00:00:00-05:00,1.7599999904632568,1.7999999523162842,1.649999976158142,1.7000000476837158,90800,0,0,-0.011627895694091173,0.1318242855041898,,0.18500019475597076,50.21216941949287,SNAL,1.8756000089645386,
