timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi
2022-06-06 04:00:00+00:00,6.09,6.24,5.874,6.01,3531092,25030,6.040202,-0.07538461538461538,0.27600849256900206,,1.5756053753050052,59.413399974392554
2022-06-07 04:00:00+00:00,5.9,6.03,5.54,5.75,2897803,20318,5.755077,-0.05427631578947367,0.3822115384615383,,1.2930260620156513,54.96249802417551
2022-06-08 04:00:00+00:00,5.67,6.015,5.65,5.9,1712917,12252,5.887369,-0.006734006734006703,0.48614609571788425,,0.7643191490483181,56.96550704910083
2022-06-09 04:00:00+00:00,5.81,5.84,5.38,5.39,1862184,13145,5.529923,-0.11783960720130948,0.3927648578811369,,0.8309234424384797,48.98808332810648
2022-06-10 04:00:00+00:00,5.25,5.39,5.11,5.13,1686462,11671,5.197355,-0.12006861063464835,0.20990566037735836,,0.7525146873679954,45.49056589782124
2022-06-13 04:00:00+00:00,4.93,5.1955,4.86,5.12,3442835,21434,5.068979,-0.14808652246256238,0.11062906724511934,,1.536224298967064,45.3564378159764
2022-06-14 04:00:00+00:00,5.16,5.32,4.98,5.15,3247157,20470,5.078265,-0.10434782608695647,0.12938596491228083,,1.4489109951423738,45.8720531993856
2022-06-15 04:00:00+00:00,4.76,5.09,4.01,4.56,11328426,45936,4.366764,-0.2271186440677967,-0.06748466257668717,,5.054846744107766,38.23151705067153
2022-06-16 04:00:00+00:00,4.4,4.855,4.4,4.63,7096683,24461,4.681013,-0.1410018552875696,-0.03138075313807542,,3.1666045182724356,39.51866287252999
2022-06-17 04:00:00+00:00,4.56,5.16,4.542,5.1,9260423,29523,5.031005,-0.005847953216374324,0.005917159763313418,,4.1320849913845645,47.43844956769963
2022-06-21 04:00:00+00:00,5.16,5.39,4.92,4.98,4696754,19883,5.106068,-0.02734374999999989,-0.013861386138613763,,2.0957343645776674,45.789797926531065
2022-06-22 04:00:00+00:00,4.94,5.2001,4.8,4.87,4040423,15927,4.980373,-0.05436893203883497,-0.048828125,,1.8028735012585273,44.27095309703581
2022-06-23 04:00:00+00:00,4.89,5.1201,4.8,4.97,3447968,16680,4.957649,0.0899122807017545,-0.009960159362549792,,1.5385146902656879,46.02378045078216
2022-06-24 04:00:00+00:00,5.06,5.105,4.685,4.8,21304110,27884,4.827328,0.036717062634989084,-0.16230366492146608,,9.506087700940421,43.51790702227375
2022-06-27 04:00:00+00:00,4.86,4.93,4.71,4.87,4023170,18307,4.825157,-0.045098039215686225,-0.1842546063651591,,1.7951750556954726,44.84946587594966
2022-06-28 04:00:00+00:00,4.87,5.025,4.51,4.52,3599522,17248,4.730091,-0.09236947791164674,-0.30461538461538473,,1.6061394638623472,39.79750355139134
2022-06-29 04:00:00+00:00,4.55,4.61,4.29,4.42,3036854,15993,4.387709,-0.0924024640657084,-0.2730263157894737,,1.3550718832634512,38.464356851348775
2022-06-30 04:00:00+00:00,4.29,4.37,4.17,4.33,3238449,14861,4.287368,-0.1287726358148893,-0.2710437710437711,,1.445025406319382,37.254785824152606
2022-07-01 04:00:00+00:00,4.35,4.46,4.215,4.39,2140227,9539,4.350366,-0.0854166666666667,-0.28150572831423903,,0.9549887585973137,38.64010838993589
2022-07-05 04:00:00+00:00,4.3,4.61,4.1293,4.61,3429041,12640,4.396999,-0.05338809034907588,-0.20926243567753,,1.5300692906730413,43.56060321888603
2022-07-06 04:00:00+00:00,4.57,4.76,4.55,4.72,2236423,10698,4.688086,0.04424778761061954,-0.21464226289517474,,0.9979122889620962,45.896760888323556
2022-07-07 04:00:00+00:00,4.76,5.0,4.73,4.79,2464612,10757,4.831239,0.08371040723981893,-0.16695652173913045,,1.0997322967629333,47.38916026480428
2022-07-08 04:00:00+00:00,4.73,4.8982,4.66,4.84,1596952,8492,4.808766,0.11778290993071594,-0.1796610169491526,,0.7125745110306043,48.482298088998235
2022-07-11 04:00:00+00:00,4.79,4.94,4.53,4.53,1443672,7497,4.639301,0.031890660592255315,-0.1595547309833023,,0.6441795805312712,42.575694775446
2022-07-12 04:00:00+00:00,4.58,4.68,4.415,4.52,2028949,9472,4.503523,-0.01952277657266832,-0.11890838206627685,,0.9053355026206383,42.39626060556972
2022-07-13 04:00:00+00:00,4.46,4.66,4.34,4.57,2003180,10915,4.554634,-0.03177966101694907,-0.107421875,,0.8938371403813553,43.6744739587256
2022-07-14 04:00:00+00:00,4.49,4.6,4.4,4.56,1198656,9169,4.518659,-0.04801670146137793,-0.11456310679611659,,0.5348512122430105,43.46673194304178
2022-07-15 04:00:00+00:00,4.67,4.72,4.36,4.63,2309395,10274,4.501212,-0.04338842975206614,0.015350877192982448,,1.0304730592413063,45.42369884408171
2022-07-18 04:00:00+00:00,4.69,4.86,4.66,4.68,1713754,9455,4.749893,0.0331125827814569,0.010799136069114423,,0.7646926260631142,46.83925497486759
2022-07-19 04:00:00+00:00,4.79,4.93,4.73,4.92,1704139,9657,4.871953,0.08849557522123908,-0.03529411764705881,,0.7604023255884855,53.124150573461826
2022-07-20 04:00:00+00:00,4.94,5.21,4.91,5.1,2778616,13341,5.089119,0.11597374179431053,0.02409638554216853,,1.2398437382850667,57.210110653261545
2022-07-21 04:00:00+00:00,5.1,5.28,4.99,5.28,2366222,9664,5.143769,0.1578947368421053,0.0841889117043122,,1.0558297836377417,60.88212915287821
2022-07-22 04:00:00+00:00,5.28,5.2888,4.93,4.95,1814110,9905,5.08255,0.06911447084233258,-0.004024144869215207,,0.8094723862744339,52.06137966255239
2022-07-25 04:00:00+00:00,4.92,5.02,4.765,4.93,1228346,7704,4.901577,0.05341880341880345,0.027083333333333348,,0.5480991603544745,51.57368883106581
2022-07-26 04:00:00+00:00,4.91,5.09,4.8101,5.02,1391902,8818,4.977963,0.020325203252032464,0.030800821355235986,,0.6210793355420328,53.67662600945617
2022-07-27 04:00:00+00:00,5.0,5.15,4.96,5.14,1296647,8611,5.051692,0.007843137254901933,0.13716814159292046,,0.5785756879382098,56.395562239632255
2022-07-28 04:00:00+00:00,5.14,5.25,4.9341,5.11,2055108,11576,5.076465,-0.032196969696969724,0.15610859728506798,,0.9170078864080343,55.518239838515306
2022-07-29 04:00:00+00:00,5.1,5.34,5.04,5.33,1291460,8794,5.243004,0.07676767676767682,0.23094688221709014,,0.5762612013483087,60.385200734879206
2022-08-01 04:00:00+00:00,5.27,5.44,5.15,5.41,1261053,9641,5.346363,0.0973630831643002,0.23234624145785898,,0.5626933213137757,62.012863539932496
2022-08-02 04:00:00+00:00,5.34,5.91,5.34,5.73,2014830,14137,5.721953,0.14143426294820727,0.24295010845986975,,0.8990354763698549,67.72521602831102
2022-08-03 04:00:00+00:00,5.78,5.91,5.7301,5.83,1079017,8711,5.80018,0.13424124513618696,0.23516949152542388,,0.481467202000254,69.27987836491056
2022-08-04 04:00:00+00:00,5.85,5.99,5.78,5.83,1149136,9207,5.854376,0.14090019569471623,0.21711899791231737,,0.5127549377236539,69.27987836491056
2022-08-05 04:00:00+00:00,5.7,5.89,5.61,5.88,1122332,9581,5.787557,0.1031894934333959,0.2148760330578512,,0.5007947490682252,70.11465517446749
2022-08-08 04:00:00+00:00,5.95,6.0,5.765,5.83,1097103,6918,5.860718,0.07763401109057311,0.2869757174392935,,0.4895373397417137,68.12116457510103
