timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi,symbol
2022-07-14 04:00:00+00:00,7.47,7.52,7.22,7.49,1335615,10193,7.378799,0.012162162162162149,-0.09101941747572817,,0.87254167216843,46.038481660736075,AXL
2022-07-15 04:00:00+00:00,7.7,7.94,7.435,7.92,1411173,10994,7.812367,0.07171853856562938,-0.09278350515463918,,0.9219028306352803,51.524101184418335,AXL
2022-07-18 04:00:00+00:00,8.0,8.2487,7.88,7.93,1423544,10847,8.028213,0.09986130374479885,0.04342105263157903,,0.9299846603739368,51.64720721047053,AXL
2022-07-19 04:00:00+00:00,8.18,8.48,8.0802,8.41,1773659,14053,8.396378,0.08376288659793829,0.09791122715404699,,1.1587106986044522,57.258113888089014,AXL
2022-07-20 04:00:00+00:00,8.33,8.49,8.14,8.41,1442270,10714,8.356475,0.08656330749354013,0.0395550061804697,,0.942218137351229,57.258113888089014,AXL
2022-07-21 04:00:00+00:00,8.31,8.43,8.18,8.42,870169,9844,8.338174,0.12416555407209606,0.014457831325301207,,0.5684712393385298,57.377616485250826,AXL
2022-07-22 04:00:00+00:00,8.45,8.5725,8.2806,8.43,1038962,9438,8.447279,0.06439393939393945,0.010791366906474753,,0.678741733807614,57.505566514165785,AXL
2022-07-25 04:00:00+00:00,8.52,8.52,8.28,8.33,1147385,8009,8.352109,0.05044136191677184,-0.06718924972004481,,0.7495732127304456,55.7047094148565,AXL
2022-07-26 04:00:00+00:00,8.21,8.375,8.11,8.32,899736,8458,8.268757,-0.010701545778834753,-0.05668934240362811,,0.5877870149332963,55.51747582613595,AXL
2022-07-27 04:00:00+00:00,8.48,8.76,8.33,8.74,1169389,8404,8.61692,0.03923900118906065,0.040476190476190554,,0.7639481688026626,61.38766254286333,AXL
2022-07-28 04:00:00+00:00,8.81,8.97,8.6,8.92,898647,8738,8.853552,0.05938242280285033,0.12484237074401006,,0.5870755839588079,63.60442412116667,AXL
2022-07-29 04:00:00+00:00,8.9,9.0,8.75,8.91,932492,7549,8.909584,0.05693950177935947,0.1832669322709164,,0.6091861269629973,63.38670166528845,AXL
2022-08-01 04:00:00+00:00,8.89,9.0,8.71,8.91,1005751,11134,8.881013,0.06962785114045622,0.19597315436241614,,0.6570453755948163,63.38670166528845,AXL
2022-08-02 04:00:00+00:00,8.83,9.02,8.75,8.82,875825,9068,8.896511,0.060096153846153744,0.19512195121951215,,0.5721662380453314,61.20005025503199,AXL
2022-08-03 04:00:00+00:00,8.93,8.96,8.645,8.66,1319656,12891,8.743887,-0.009153318077803174,0.2679355783308932,,0.8621158439573543,57.40847592128348,AXL
